,index,Ticker,Stock Price,52 Week Change,Number of Shares to Buy
0,166,ENPH,193.5,3.7134678856984835,N/A
1,437,TSLA,796.2,3.649056724515208,N/A
2,174,ETSY,228.3,3.1712304001325555,N/A
3,87,CARR,37.4,2.1033334732055664,N/A
4,204,FCX,32.9,1.8410981884631754,N/A
5,360,PYPL,304.7,1.4306863528803788,N/A
6,18,ALGN,614.2,1.2210574799554916,N/A
7,436,TER,143.6,1.0670723299213332,N/A
8,88,CTLT,122.7,1.0396289798373626,N/A
9,423,SIVB,525.1,1.030255543093941,N/A
10,501,ZBRA,486.0,1.02645136124051,N/A
11,277,LB,49.2,1.01660446340163,N/A
12,346,NVDA,613.2,1.0104527616056216,N/A
13,274,KLAC,337.1,0.9517815761500874,N/A
14,385,PWR,77.6,0.9135740700167466,N/A
15,448,TWTR,73.9,0.8862322208402937,N/A
16,241,IDXX,538.1,0.8843939863502616,N/A
17,136,DE,317.0,0.8766084236037955,N/A
18,3,ABMD,322.7,0.8715975609051405,N/A
19,81,CDNS,145.9,0.8042758395974694,N/A
20,460,URI,288.0,0.8041953842508641,N/A
21,280,LRCX,591.7,0.8009159025624955,N/A
22,47,APTV,155.0,0.7788004237165832,N/A
23,46,AMAT,118.3,0.7757825749134843,N/A
24,15,ALB,162.2,0.7753101086642572,N/A
25,256,IPGP,256.4,0.7494293543108635,N/A
26,425,SNPS,290.6,0.7417138040436916,N/A
27,442,TSCO,161.9,0.7402636902124299,N/A
28,471,VIAC,59.1,0.7378918134419504,N/A
29,429,TTWO,195.7,0.7273207453816873,N/A
30,487,WST,295.6,0.6972057970360847,N/A
31,384,QRVO,177.0,0.6914656101154105,N/A
32,324,MOS,30.6,0.6673972769959332,N/A
33,160,EBAY,62.8,0.6649062850639639,N/A
34,244,ILMN,492.5,0.6479060019562914,N/A
35,413,SWKS,194.1,0.6450287048055386,N/A
36,386,QCOM,147.1,0.6443258208251013,N/A
37,431,TGT,190.5,0.6430450911907851,N/A
38,45,AAPL,133.1,0.6406269133277821,N/A
39,187,FDX,261.8,0.6339155222976346,N/A
40,144,DISCA,47.3,0.6290429654525648,N/A
41,410,NOW,585.7,0.6250525002407328,N/A
42,67,BIO,649.6,0.6093261775875078,N/A
43,5,ATVI,102.9,0.605742010965429,N/A
44,332,NWSA,23.7,0.598620710701778,N/A
45,183,FFIV,208.3,0.5985904797819845,N/A
46,446,TRMB,75.1,0.5887769630410011,N/A
47,7,AMD,91.4,0.5809457445304791,N/A
48,101,CMG,1484.0,0.5734831211366505,N/A
49,230,HOLX,83.4,0.5681429204121178,N/A
50,498,XLNX,142.5,0.5611834453077812,N/A
51,76,AVGO,489.1,0.5526307674539923,N/A
52,312,MTD,1190.8,0.5506486973313752,N/A
53,299,MKTX,537.5,0.5430325285850683,N/A
54,211,GM,53.4,0.5370531712927678,N/A
55,17,ALXN,156.6,0.5370007698100627,N/A
56,25,AMZN,3268.9,0.5348545985650125,N/A
57,333,NWS,23.2,0.5348525135006916,N/A
58,11,A,127.9,0.5346148568487514,N/A
59,364,PKI,146.4,0.533772223365587,N/A
60,306,MXIM,96.1,0.5313049813470774,N/A
61,270,KEYS,151.0,0.5272540972233459,N/A
62,314,MCHP,162.2,0.5244016870548732,N/A
63,158,EMN,110.3,0.51650625348019,N/A
64,459,UPS,161.7,0.5128735460454257,N/A
65,315,MU,87.7,0.49004334288758117,N/A
66,89,CAT,202.3,0.4811831918262585,N/A
67,440,TMO,500.0,0.4774876209187929,N/A
68,286,LLY,205.7,0.4641515832685061,N/A
69,133,DHR,242.2,0.4628658759884718,N/A
70,54,ADSK,308.2,0.4610257537942108,N/A
71,130,CMI,244.4,0.4561604306496021,N/A
72,145,DISCK,40.5,0.4416348362319592,N/A
73,293,LOW,174.0,0.4373934923117585,N/A
74,126,CTVA,45.2,0.4324840792575044,N/A
75,1,ABT,128.0,0.4315931795202254,N/A
76,197,F,11.5,0.42431748691922155,N/A
77,329,NFLX,557.2,0.42178562223695626,N/A
78,336,NKE,141.7,0.4116667205212163,N/A
79,432,TEL,131.2,0.41019789062759854,N/A
80,449,TYL,471.7,0.4088669639163478,N/A
81,350,ODFL,210.1,0.40192777458543577,N/A
82,23,GOOG,2121.9,0.40050800308487244,N/A
83,140,DXCM,404.3,0.3990540375580659,N/A
84,372,POOL,333.3,0.39902548062599313,N/A
85,191,FRC,163.1,0.396712587162291,N/A
86,22,GOOGL,2110.7,0.39434278345131923,N/A
87,399,ROL,36.8,0.3934009706274601,N/A
88,198,FTNT,164.8,0.3916282961444252,N/A
89,354,OTIS,63.1,0.38541433429191124,N/A
90,49,ANET,318.6,0.3827450318377458,N/A
91,430,TPR,39.0,0.375444875487129,N/A
92,253,INTU,422.2,0.3697334635384466,N/A
93,173,EL,295.7,0.3696083664118435,N/A
94,9,AES,28.9,0.36757010412962277,N/A
95,438,TXN,180.7,0.3603321495486833,N/A
96,323,MS,76.0,0.35896967446245026,N/A
97,125,GLW,38.6,0.35466572469873336,N/A
98,275,KHC,35.3,0.35455545412030925,N/A
99,40,ANSS,401.8,0.3540735722278913,N/A
100,43,AOS,59.1,0.3474306261559344,N/A
101,39,ADI,160.4,0.3473053926892551,N/A
102,443,TT,151.2,0.3452832244259962,N/A
103,356,PKG,133.0,0.34333466148709746,N/A
104,326,MSCI,440.9,0.34311661084979267,N/A
105,216,GS,311.9,0.34102303173502196,N/A
106,481,DIS,186.3,0.33994540217941654,N/A
107,454,UAA,22.4,0.3389121477247827,N/A
108,206,GRMN,132.4,0.333504848066881,N/A
109,164,EA,145.7,0.3322675228465379,N/A
110,321,MNST,92.1,0.3241380126807994,N/A
111,38,APH,135.7,0.3213334848326372,N/A
112,205,GPS,23.2,0.31896559000487906,N/A
113,407,STX,71.0,0.31752772429733384,N/A
114,264,JCI,53.0,0.31459867960060056,N/A
115,66,BBY,120.7,0.3125553630342649,N/A
116,261,JBHT,146.3,0.3121066191348638,N/A
117,98,SCHW,60.9,0.3117911371185721,N/A
118,492,WHR,196.2,0.30990004607107313,N/A
119,156,DD,70.9,0.3096931074543284,N/A
120,483,WAT,282.5,0.3052193375162385,N/A
121,316,MSFT,243.1,0.30427817401441937,N/A
122,72,BWA,43.7,0.29790330508968815,N/A
123,6,ADBE,501.6,0.29663456004302186,N/A
124,404,CRM,248.5,0.2960385598845797,N/A
125,355,PCAR,97.1,0.29266479440168813,N/A
126,357,PH,276.2,0.29171814702449633,N/A
127,58,AVY,179.1,0.2904839038173344,N/A
128,254,ISRG,791.9,0.29005907289182814,N/A
129,397,RHI,74.7,0.28831253997867545,N/A
130,318,MHK,171.1,0.2817683708357189,N/A
131,255,IVZ,22.8,0.2814982320221304,N/A
132,69,BLK,730.3,0.2772260012511553,N/A
133,328,NTAP,68.8,0.27718505472587657,N/A
134,150,DPZ,377.9,0.2728717012244691,N/A
135,279,LH,236.3,0.2723891999676508,N/A
136,179,EXPE,147.8,0.27200656669744677,N/A
137,180,EXPD,93.4,0.268574469727356,N/A
138,132,DHI,78.9,0.26783110250979064,N/A
139,302,MLM,325.6,0.2647743870677616,N/A
140,361,PNR,54.8,0.26277041473115686,N/A
141,48,ADM,56.0,0.2580426818703018,N/A
142,184,FB,273.9,0.2560606220891916,N/A
143,408,SEE,42.7,0.25209120680875635,N/A
144,327,NDAQ,143.9,0.2508861825179153,N/A
145,331,NEM,57.8,0.2503290783028933,N/A
146,398,ROK,249.7,0.2483646938011651,N/A
147,85,KMX,122.3,0.24666740939462883,N/A
148,147,DG,200.2,0.24605770598066942,N/A
149,455,UA,18.6,0.2446666717529297,N/A
150,285,LEN,88.3,0.24429544470109085,N/A
151,79,CHRW,88.5,0.2415459038942664,N/A
152,411,SHW,707.4,0.23998760370982275,N/A
153,34,AMP,220.1,0.23182360911471908,N/A
154,219,HBI,18.0,0.23156447672988698,N/A
155,359,PAYC,389.9,0.23129870345376374,N/A
156,479,WMT,145.6,0.2304605895494703,N/A
157,93,CE,131.1,0.22895589947977088,N/A
158,394,RF,20.2,0.22746787941767277,N/A
159,152,DOW,58.7,0.2262253635808292,N/A
160,185,FAST,46.6,0.2261687030647291,N/A
161,143,DFS,95.4,0.216987376313438,N/A
162,338,NSC,256.4,0.21637339478121845,N/A
163,427,TMUS,122.0,0.21445741276896996,N/A
