,index,Ticker,Stock Price,4 Week Change,4 Week Percentile,12 Week Change,12 Week Percentile,26 Week Change,26 Week Percentile,52 Week Change,52 Week Percentile,HQM Score
345,345,NVDA,532.3,-0.027632663569563464,0.9580838323353293,0.38958828695269665,0.9920159680638723,1.1178937749095497,0.998003992015968,1.1717339819264903,0.9700598802395209,0.9795409181636726
319,319,MPWR,362.5,0.0069329368364557135,0.9860279441117764,0.28762244542425586,0.9660678642714571,0.6990841038591479,0.9760479041916167,1.3821395885115548,0.9840319361277444,0.9780439121756487
7,7,AMD,82.4,0.014087770284659984,0.9880239520958084,0.2417633176582005,0.9481037924151697,1.0636219758815084,0.9940119760479043,0.9202455205475759,0.9441117764471058,0.968562874251497
3,3,ABMD,320.4,-0.04598299522584336,0.9500998003992016,0.2750536193268612,0.9600798403193613,0.9979216255005412,0.9920159680638723,1.1078780620892084,0.9600798403193613,0.9655688622754491
86,86,CTLT,112.2,-0.07855097944623687,0.9081836327345308,0.49285037012017857,1.0,0.7635843404097603,0.9800399201596807,1.1679694457663152,0.9680638722554891,0.9640718562874251
80,80,CDNS,138.0,-0.06819559710676286,0.9281437125748504,0.3078676397312562,0.9760479041916167,0.684538423922742,0.9740518962075848,1.1429222992938406,0.9640718562874251,0.9605788423153693
427,427,TTWO,184.6,0.017433280291682857,0.9900199600798403,0.281435526095728,0.9620758483033931,0.5874444385645532,0.9660678642714571,0.71049715298493,0.8982035928143712,0.9540918163672654
25,25,AMZN,3057.1,0.0008172355528755613,0.9840319361277444,0.2984874631596173,0.9700598802395209,0.8314280483533951,0.9840319361277444,0.6414211386154585,0.874251497005988,0.9530938123752495
358,358,PYPL,253.9,-0.11248143235661422,0.8363273453093812,0.3744436781719789,0.9880239520958084,0.8929896728670592,0.9900199600798403,1.409588417356194,0.9880239520958084,0.9505988023952096
297,297,MKTX,551.7,-0.009089814641461483,0.9720558882235529,0.4187616183819568,0.996007984031936,0.4577908675226371,0.9341317365269461,0.6677866699136721,0.8862275449101795,0.9471057884231536
349,349,ODFL,215.5,0.025706363769690824,0.9940119760479043,0.17994454638783577,0.9221556886227544,0.5301210579375921,0.9481037924151697,0.6254036900556499,0.8642714570858283,0.9321357285429142
242,242,ILMN,445.8,-0.04466581648407152,0.9520958083832335,0.34428508934548696,0.9800399201596807,0.3742931223264978,0.8842315369261478,0.6904936561522514,0.8922155688622755,0.9271457085828343
483,483,WST,277.6,-0.1259608572283549,0.8143712574850299,0.36309028874309207,0.9840319361277444,0.8342484072942552,0.9860279441117764,0.8128673749914742,0.9241516966067864,0.9271457085828343
456,456,UPS,157.5,0.04720747159880882,0.996007984031936,0.07834662967853143,0.8143712574850299,0.8131648824304695,0.9820359281437127,0.7490027212691444,0.9061876247504991,0.9246506986027945
254,254,IPGP,219.9,-0.04934449702030546,0.9481037924151697,0.2691149231233342,0.9560878243512974,0.316912294948758,0.844311377245509,0.8512336993984948,0.936127744510978,0.9211576846307385
272,272,KLAC,304.7,-0.07108591041269254,0.9241516966067864,0.16514620092872498,0.9121756487025948,0.3861746859596153,0.8902195608782435,1.1030474993847097,0.9580838323353293,0.9211576846307385
44,44,AAPL,120.9,-0.10236906210102019,0.8642714570858283,0.15841627241246306,0.9061876247504991,0.8871014692777391,0.9880239520958084,0.773325636250582,0.9141716566866268,0.9181636726546907
423,423,SNPS,244.0,-0.11335234910966979,0.8303393213572855,0.23138203053742765,0.9461077844311377,0.6173353803283511,0.9700598802395209,0.7920777858106757,0.9181636726546907,0.9161676646706587
99,99,CMG,1410.7,-0.14038780893115893,0.7544910179640719,0.35889084445175434,0.9820359281437127,0.7342069359624026,0.9780439121756487,0.9085434760077425,0.9421157684630738,0.9141716566866267
66,66,BIO,582.4,-0.0770509665563534,0.9101796407185628,0.29376392554861014,0.9680638722554891,0.4096175541716634,0.9081836327345308,0.620011141284719,0.8622754491017964,0.9121756487025948
196,196,FTNT,168.0,-0.055533875507963515,0.93812375249501,0.39692133413314123,0.9940119760479043,0.2861457062727687,0.8223552894211577,0.6450702173381411,0.8762475049900199,0.9076846307385229
5,5,ATVI,95.1,-0.09360539564157935,0.8762475049900199,0.24241383414667325,0.9500998003992016,0.43185314625861465,0.9201596806387226,0.639122194565904,0.8682634730538922,0.903692614770459
433,433,TER,125.6,-0.07139185378939984,0.9201596806387226,0.057010817321586166,0.780439121756487,0.45471668280560307,0.9321357285429142,1.2018490146606242,0.9740518962075848,0.9016966067864272
411,411,SWKS,176.1,-0.12525626820935384,0.8163672654690619,0.16984419956419547,0.9141716566866268,0.48472744698993947,0.93812375249501,0.8226733474180489,0.9261477045908184,0.8987025948103793
79,79,COG,18.9,0.21835668435328953,0.998003992015968,0.3789784489373414,0.9900199600798403,0.404145003106677,0.9041916167664671,0.37009621874846027,0.6926147704590818,0.8962075848303392
239,239,IDXX,518.2,-0.1435938398775637,0.7425149700598803,0.16993808036316102,0.9161676646706587,0.5633020471726253,0.9540918163672655,1.079432323014207,0.9560878243512974,0.8922155688622755
497,497,ZBRA,497.6,-0.12948159630062975,0.8023952095808383,0.14126117073496397,0.8982035928143712,0.3393633832986831,0.8582834331337326,1.334548729839325,0.9800399201596807,0.8847305389221557
439,439,TSCO,161.1,-0.1492867406219319,0.716566866267465,0.20479925445722252,0.9341317365269461,0.6458033985269861,0.9720558882235529,0.7578237993743441,0.9101796407185628,0.8832335329341318
259,259,JBHT,146.4,-0.053414589524153275,0.9421157684630738,0.09629093508283124,0.8463073852295409,0.45200942201444866,0.9281437125748504,0.5174087584250262,0.8083832335329342,0.8812375249500998
314,314,MSFT,228.9,-0.0711846948299925,0.9221556886227544,0.1596282789806071,0.9081836327345308,0.4257808144014885,0.9161676646706587,0.4690859504534035,0.7704590818363273,0.8792415169660678
437,437,TMO,451.4,-0.08549883884657355,0.8822355289421158,0.13016700947752255,0.8842315369261478,0.44398825358764926,0.9241516966067864,0.5150128144454533,0.8063872255489022,0.874251497005988
494,494,XLNX,125.6,-0.056233505357036764,0.9341317365269461,0.09749654306548101,0.8502994011976048,0.31035358487012993,0.8383233532934132,0.6391999818023243,0.8702594810379242,0.8732534930139721
108,108,CTXS,138.8,0.2300670307911305,1.0,0.32786242698468726,0.9780439121756487,0.4101194059134216,0.9101796407185628,0.29727105222367545,0.6027944111776447,0.8727544910179641
328,328,NFLX,546.7,-0.07887863517433591,0.9061876247504991,0.17363000734060619,0.9181636726546907,0.4246590345489599,0.9141716566866268,0.4496515777705657,0.7504990019960079,0.8722554890219562
273,273,KHC,37.2,-0.08049660729493271,0.8982035928143712,0.18982778940578945,0.9261477045908184,0.40328401598261954,0.8982035928143712,0.456948420845908,0.7604790419161677,0.8707584830339321
429,429,TGT,185.0,-0.1380420512394515,0.7604790419161677,0.12365079737716997,0.8802395209580838,0.4316417608572775,0.9181636726546907,0.7367922521412976,0.9021956087824351,0.8652694610778443
310,310,MTD,1109.9,-0.07424280316420923,0.9161676646706587,0.04532635650883684,0.7624750499001997,0.40357116320393394,0.9001996007984032,0.6136051607510559,0.8602794411177644,0.8597804391217565
1,1,ABT,121.5,-0.10657914106835799,0.8522954091816368,0.14143195609230114,0.9001996007984032,0.3823714843512154,0.8882235528942115,0.5125646557205716,0.7984031936127746,0.8597804391217565
117,117,CAG,34.5,-0.010997379836859132,0.9700598802395209,0.22298062091899193,0.9421157684630738,0.4546833291442066,0.9301397205588822,0.28668939041877406,0.5868263473053892,0.8572854291417165
434,434,TSLA,682.2,-0.20581740758123593,0.4750499001996008,0.21885125591179747,0.93812375249501,2.669513962634395,1.0,3.9742266923406837,1.0,0.8532934131736527
6,6,ADBE,459.1,-0.09365366905804823,0.874251497005988,0.1322885336200158,0.8922155688622755,0.5210655112567028,0.9461077844311377,0.3619045638482602,0.6846307385229541,0.8493013972055888
138,138,DXCM,395.4,-0.14974423586092842,0.7125748502994012,0.4188218684437434,0.998003992015968,0.5113329084059618,0.9421157684630738,0.4131731677338097,0.7345309381237525,0.8468063872255489
17,17,ALXN,153.6,-0.08274509089161769,0.8862275449101795,0.09827346521496352,0.8522954091816368,0.24030845654086602,0.7604790419161677,0.6587035082457777,0.8802395209580838,0.8448103792415169
362,362,PKI,125.9,-0.11053130607869659,0.8423153692614771,0.09701138916960754,0.8483033932135728,0.39611007645590735,0.8962075848303394,0.49537472478940675,0.7904191616766467,0.844311377245509
408,408,NOW,528.7,-0.17316460986837973,0.5968063872255489,0.19850049151318658,0.9301397205588822,0.5058418613643941,0.940119760479042,0.6665417425832324,0.8842315369261478,0.8378243512974052
330,330,NEM,56.1,0.02170647244202939,0.9920159680638723,0.3642811349155077,0.9860279441117764,0.4459488619035282,0.9261477045908184,0.16870841381391033,0.44311377245508976,0.8368263473053892
284,284,LLY,203.8,-0.056118893590765405,0.936127744510978,0.17872897206858576,0.9201596806387226,0.1486182876801964,0.626746506986028,0.5859586308358165,0.8522954091816368,0.8338323353293413
131,131,DHR,219.2,-0.12057120271734072,0.8263473053892215,0.07215233179299639,0.8063872255489022,0.40408022397681287,0.9021956087824351,0.49384558728385153,0.7884231536926147,0.8308383233532934
158,158,EBAY,56.8,-0.1903538784822992,0.5469061876247505,0.21204338216450533,0.936127744510978,0.5633560886986766,0.9560878243512974,0.6101597230251158,0.8582834331337326,0.8243512974051896
11,11,A,122.1,-0.10887253353933257,0.844311377245509,0.042877433575346305,0.7564870259481037,0.2969133123228565,0.8263473053892215,0.5765207182449732,0.8502994011976048,0.8193612774451098
164,164,ENPH,167.3,-0.24507787858074795,0.3612774451097805,0.22908126267735585,0.9441117764471058,0.5838803530644827,0.9620758483033931,2.610746587758655,0.996007984031936,0.8158682634730539
48,48,ANET,280.2,-0.025106072205243437,0.9600798403193613,0.15477798058236478,0.9041916167664671,0.156693267523122,0.6467065868263474,0.448597199232495,0.7485029940119761,0.814870259481038
39,39,ANSS,338.4,-0.13041162045406507,0.7944111776447106,0.09064102165079416,0.8343313373253493,0.3885317150954332,0.8922155688622755,0.39664140388612584,0.7245508982035928,0.811377245508982
335,335,NKE,135.2,-0.10773574914448254,0.8483033932135728,0.06448333018277978,0.7944111776447106,0.2635798479221769,0.7904191616766467,0.5220778558360687,0.8123752495009979,0.811377245508982
78,78,CHRW,90.0,-0.10848721243860969,0.8463073852295409,0.11492770092512547,0.8702594810379242,0.4068985142063208,0.9061876247504991,0.3002718606385826,0.6047904191616766,0.8068862275449102
384,384,QCOM,135.5,-0.16934422171337268,0.626746506986028,0.02712664593582548,0.720558882235529,0.568343358508794,0.9580838323353293,0.7933894925337627,0.9201596806387226,0.8063872255489022
